worker,task,utterance,matching_templates,plausible_operations,type_of_sentence
W208,12,"Ignore all the criteria I gave you before, and just show me articles about flu.",TNCA1007,"Update(l8 ^ l9, l10)",command
W208,13,Show me only those articles from the set you gave me that aren't about COVID-19.,TNCA1081,Create(neg(l1)),command
W209,2,Can you get me all new articles about COVID-19?,TNCA536,Create(l1),question
W209,3,Can you only include news articles that contain mention of a vaccination?,TNCA575,"Create(l2),Update(l1, l2)",question
W209,4,Add news about treatment to the list,TNCA633,"Update(l2, l2 v l3),Update(l1 ^ l2, (l1 ^ l2) ^ l3)",command
W209,5,Exclude vaccination and treatment from the list but include everything else.,TNCA1118,"Update(l2 v l3, neg(l2) ^ neg(l3))",command
W209,6,"Modify the list to show articles with NCD, NI or WHO in the headline",TNCA706,Create(l4 v l5 v l6),command
W209,7,Remove North Ireland from the heading list,TNCA769,"Update(l5, ?),Update(l5, neg(l5))",command
W209,8,NI stands for National Insurance and not North Ireland. Adjust accordingly.,TNCA823,"Update(?, l7)",statement
W209,9,"In addition to the previouslly mentioned keywords in the title, change the articles to include SARS-CoV-2 instead of COVID-19",TNCA888,"Update(l1, l8)",command
W209,10,Can you tell me what the latest search parameters were?,TNCA930,Read(Q10),question
W209,11,"I need all articles to be about the economy.  Headline doesn't need to contact NCD, NI, or WHO.",TNCA1152,"Update(f1:(l4 ^ l7 ^ l6), l9 ^ neg(f1:(l4 ^ l7 ^ l6)))",statement
W209,12,Start a new search with articles about the flu,TNCA1020,"Update(l8 ^ l9, l10)",command
W209,13,Remove all articles that mention COVID-19,TNCA1071,Create(neg(l1)),command
W210,2,please find all news articles on COVID-19,TNCA532,Create(l1),command
W210,4,please find news articles about vaccination and treatment,TNCA634,"Update(l2, l2 ^ l3)",command
W210,5,please find articles not about vaccination or treatment,TNCA1125,"Update(l2 v l3, neg(l2) v neg(l3))",command
W210,6,"please find articles with NCD, NI, and/or WHO in the headline",TNCA706,Create(l4 v l5 v l6),command
W210,7,NI does not refer to North Ireland,TNCA758,"Update(l5, ?)",statement
W210,8,I meant National Insurance,TNCA827,"Update(?, l7)",statement
W210,9,please find news articles about SARS-CoV-2 instead of COVID-19 ,TNCA880,"Update(l1, l8)",command
W210,10,can you please repeat the previous information I provided?,TNCA929,Read(Q10),question
W210,11,"please find articles about the economy instead of articles with NCD, NI, or WHO in the headline",TNCA1155,"Update(f1:(l4 ^ l7 ^ l6), l9 ^ neg(f1:(l4 ^ l7 ^ l6)))",command
W210,12,please find news articles about the flu and ignore my previous instructions,TNCA1014,"Update(l8 ^ l9, l10)",command
W210,13,please remove articles about COVID-19 from the list,TNCA1071,Create(neg(l1)),command
W211,2,Give me COVID-19 news,TNCA533,Create(l1),command
W211,3,show me info about vaccination,TNCA571,"Create(l2),Update(l1, l1 v l2),Update(l1, l2)",command
W211,5,"forget about vaccination and treatment, give me other articles",TNCA1121,"Update(l2 v l3, neg(l2) ^ neg(l3))",command
W211,6,"Give me articles with NCD, NI, WHO in the headline",TNCA706,Create(l4 v l5 v l6),command
W211,7,I didn't mean North Ireland,TNCA764,"Update(l5, ?)",statement
W211,8,Show me things with National Insurance,TNCA830,"Update(?, l7)",command
W211,9,And also show me about SARS-CoV-2 instead of COVID-19 with those headlines,TNCA883,"Update(l1, l8)",command
W211,10,What is this search about?,TNCA939,Read(Q10),question
W211,12,Now show me articles about the flu,TNCA1013,"Update(l8 ^ l9, l10),Create(l10)",command
W211,13,Without showing me articles about COVID-19,TNCA1082,Create(neg(l1)),command
W212,2,Please get some news articles about COVID-19,TNCA532,Create(l1),command
W212,3,Keep articles about a vaccination,TNCA580,Create(l2),command
W212,4,Add articles about treatment,TNCA633,"Update(l2, l2 v l3),Update(l1 ^ l2, (l1 ^ l2) ^ l3)",command
W212,5,Take away articles about vaccination and treatment,TNCA1118,"Update(l2 v l3, neg(l2) ^ neg(l3))",command
W212,6,"Show articles with NCD, NI or WHO in the headline",TNCA706,Create(l4 v l5 v l6),command
W212,7,Remove articles about North Ireland,TNCA757,"Update(l5, neg(l5)),Update(l5, ?)",command
W212,8,Show articles about National Insurance,TNCA830,"Update(?, l7)",command
W212,9,Show articles about SARS-CoV2. Remove articles about COVID-19.,TNCA880,"Update(l1, l8)",command
W212,10,Show previous search,TNCA936,Read(Q10),command
W212,11,"Show articles about the economy. Remove articles containing the headline NCD, NI or WHO.",TNCA1157,"Update(f1:(l4 ^ l7 ^ l6), l9 ^ neg(f1:(l4 ^ l7 ^ l6)))",command
W212,12,Restart search. Show articles about flu.,TNCA1018,"Update(l8 ^ l9, l10)",command
W212,13,Remove articles about COVID-19.,TNCA1071,Create(neg(l1)),command
W213,2,compile list of news articles subject COVID-19,TNCA538,Create(l1),command
W213,3,reduce list to only show vaccination articles,TNCA584,Create(l2),command
W213,4,add articles about treatment,TNCA633,"Update(l2, l2 v l3),Update(l1 ^ l2, (l1 ^ l2) ^ l3)",command
W213,7,remove North Ireland articles,TNCA768,"Update(l5, neg(l5)),Update(l5, ?)",command
W213,9,edit news stories list to include subject SARS-CoV-2 headline NCD headline National Insurance headline WHO minus subject COVID-19,TNCA881,"Update(l1, l8)",command
W213,10,repeat directions to populate list news,TNCA934,Read(Q10),command
W213,11,news articles add subject economy headline minus NCD minus National Insurance minus WHO,TNCA1154,"Update(f1:(l4 ^ l7 ^ l6), l9 ^ neg(f1:(l4 ^ l7 ^ l6)))",command
W213,12,"populate news articles subject ""flu""",TNCA1016,"Update(l8 ^ l9, l10),Create(l10)",command
W213,13,edit list minus subject COVID-19,TNCA1070,Create(neg(l1)),command
W214,2,Can you please get me news on COVID-19?,TNCA536,Create(l1),question
W214,3,can you please limit the articles to be about the vaccination?,TNCA575,"Create(l2),Update(l1, l2)",question
W214,4,or are there any articles about the treatment?,TNCA640,"Update(l2, l2 v l3),Update(l1 ^ l2, (l1 ^ l2) v l3)",question
W214,5,can you please get me all the articles not just limited to vaccination or treatment?,TNCA679,Delete(l2 v l3),question
W214,6,"please show only articles with headlines containing NCD, NI or WHO",TNCA707,Create(l4 v l5 v l6),command
W214,7,I did not mean North Ireland for NI,TNCA763,"Update(l5, ?)",statement
W214,8,I meant National Insurance,TNCA827,"Update(?, l7)",statement
W214,9,can you get me news article for SARS-CoV-2 instead of COVID-19?,TNCA885,"Update(l1, l8)",question
W214,10,what was my previous search criteria?,TNCA941,Read(Q10),question
W214,11,can you please limit the articles to be about the economy and remove the headline conditions?,TNCA973,"Update(f1:(l4 ^ l7 ^ l6), l9)",question
W214,12,cancel all search criteria and get me news articles about flu,TNCA1007,"Update(l8 ^ l9, l10)",command
W214,13,limit the articles to be not about COVID-19,TNCA1076,Create(neg(l1)),command
W215,2,please get me news articles on the COVID-19 ,TNCA532,Create(l1),command
W215,3,i want it to contain only news articles about the vaccination,TNCA579,Create(l2),statement
W215,4,You can also news articles about the possible treatment,TNCA635,"Update(l1 ^ l2, (l1 ^ l2) ^ l3),Update(l2, l2 v l3)",statement
W215,6,"include just news articles that contain WHO, or NCD or NI in the headline.",TNCA706,Create(l4 v l5 v l6),command
W215,7,please remove news articles that have North Ireland as that is not what I mean.,TNCA766,"Update(l5, ?)",command
W215,8,the news articles with National Insurance should be added to the list,TNCA832,"Update(?, l7)",statement
W215,9,now you have to include SARS-CoV-2 rather than COVID-19 in the list,TNCA890,"Update(l1, l8)",command
W215,12,now change the list to contain news articles about flu.,TNCA1012,"Update(l8 ^ l9, l10),Create(l10)",command
W215,13,Please go ahead and include news articles that does not include COVID-19.,TNCA1078,Create(neg(l1)),command
W216,2,find articles related to covid-19,TNCA532,Create(l1),command
W216,3,keep articles related to vaccination,TNCA580,Create(l2),command
W216,4,add articles about treatment,TNCA633,"Update(l2, l2 v l3),Update(l1 ^ l2, (l1 ^ l2) ^ l3)",command
W216,7,Exclude North Ireland,TNCA757,"Update(l5, neg(l5)),Update(l5, ?)",command
W216,8,I meant National Insurance,TNCA827,"Update(?, l7)",statement
W216,10,What did I search for?,TNCA937,Read(Q10),question
W216,11,delete headline keywords and find economy,TNCA974,"Update(f1:(l4 ^ l7 ^ l6), l9)",command
W216,12,delete all keywords and find flu,TNCA1007,"Update(l8 ^ l9, l10)",command
W216,13,exclude results about covid-19,TNCA1071,Create(neg(l1)),command
W217,2,tell me some news about COVID-19,TNCA532,Create(l1),command
W217,3,tell me only about the vaccination related,TNCA573,"Create(l2),Update(l1, l2)",command
W217,5,tell me more related articles except vaccination or treatment,TNCA1125,"Update(l2 v l3, neg(l2) v neg(l3))",command
W217,8,I mean National Insurance,TNCA827,"Update(?, l7)",statement
W217,9,Give me some news about SARS-CoV-2 instread of COVID-19 from the same sources,TNCA880,"Update(l1, l8)",command
W217,11,tell me some economy news from theses sources instread of headline,TNCA980,"Update(f1:(l4 ^ l7 ^ l6), l9)",command
W217,12,start a new subscription with topic flu,TNCA1021,"Update(l8 ^ l9, l10)",command
W217,13,remove COVID-19 from the subscription,TNCA1079,Create(neg(l1)),command
W218,2,Find news articles on COVID-19.,TNCA532,Create(l1),command
W218,3,Filter and keep articles containing the word vaccination.,TNCA577,Create(l2),command
W218,4,Alter previous filter and keep articles containing the word treatment.,TNCA637,"Update(l2, l2 v l3)",command
W218,6,Filter the articles by headline containing the words NCD or NI or WHO.,TNCA708,Create(l4 v l5 v l6),command
W218,7,Hide results containing North Ireland.,TNCA762,"Update(l5, ?),Update(l5, neg(l5))",command
W218,8,National Insurance.,TNCA824,"Update(?, l7)",command
W218,9,"Change my search inquiry for SARS-CoV2 instead of COVID-19, keep the headline filter.",TNCA886,"Update(l1, l8)",command
W218,10,What was my last search?,TNCA941,Read(Q10),question
W218,11,"Cancel the headline filter, find articles about economy.",TNCA974,"Update(f1:(l4 ^ l7 ^ l6), l9)",command
W218,12,"Cancel all filters, find articles about flu.",TNCA1007,"Update(l8 ^ l9, l10)",command
W218,13,Hide articles about COVID-19.,TNCA1074,Create(neg(l1)),command
W219,2,please find news on Covid-19,TNCA532,Create(l1),command
W219,3,"News Bot, please show me only recent articles about vaccination",TNCA573,"Create(l2),Update(l1, l2)",command
W219,6,"News Bot, please show me only recent articles that have the word ""NCD"" or ""NI"" or ""WHO"" in its headline",TNCA706,Create(l4 v l5 v l6),command
W219,8,I was referring to National Insurance,TNCA829,"Update(?, l7)",statement
W219,10,"News Bot, please show me my previous requests",TNCA936,Read(Q10),command
W219,12,"News Bot, forget about my past requests, just show me a new search for flu, ",TNCA1007,"Update(l8 ^ l9, l10)",command
W220,2,please get me news articles on COVID-19.,TNCA532,Create(l1),command
W220,6,"only find me articles with NCD, NI and the WHO in the headline.",TNCA706,Create(l4 v l5 v l6),command
W220,8,I wanted to see articles on National Insurance.,TNCA828,"Update(?, l7)",statement
W220,9,Can you give me different articles from the ones you have given me? I would now like articles about SARS-CoV-2 and NOT COVID-19.,TNCA887,"Update(l1, l8)",question
W220,10,Can you please tell me what I had previously requested from you?,TNCA930,Read(Q10),question
W221,2,Give me a list of all news articles on COVID-19.,TNCA534,Create(l1),command
W221,3,Please show just news articles discussing vaccination.,TNCA572,"Create(l2),Update(l1, l2)",command
W221,4,Please include news articles that talk about treatment.,TNCA633,"Update(l2, l2 v l3),Update(l1 ^ l2, (l1 ^ l2) ^ l3)",command
W221,5,Please show me the news articles that do not discuss vaccination or treatment.,TNCA1125,"Update(l2 v l3, neg(l2) v neg(l3))",command
W221,6,"Please show me news articles that have the words NCD, NI, or WHO in the headline.",TNCA706,Create(l4 v l5 v l6),command
W221,7,Please exclude news articles that contain the North Ireland.,TNCA757,"Update(l5, neg(l5)),Update(l5, ?)",command
W221,8,I would like to see news articles that include National Insurance in the headline.,TNCA828,"Update(?, l7)",statement
W221,9,Now show me a list of news articles about SARS-CoV-2 instead of COVID-19.,TNCA880,"Update(l1, l8)",command
W221,12,Please show me a new list of new articles about the flu.,TNCA1015,"Update(l8 ^ l9, l10)",command
W221,13,Show me only news articles in this list that are not about COVID-19.,TNCA1081,Create(neg(l1)),command
W222,2,Find articles about COVID-19,TNCA532,Create(l1),command
W222,3,filter to mention only vaccination,TNCA577,Create(l2),command
W222,5,exclude vaccination AND treatment,TNCA1120,"Update(l1 ^ l2, (l1 ^ l2) ^ l3)",command
W222,6,headline contains NCD or NI or WHO,TNCA710,Create(l4 v l5 v l6),command
W222,7,"repeat last, 'NI' not equal 'North Ireland'",TNCA758,"Update(l5, ?)",command
W222,8,NI means National Insurance,TNCA823,"Update(?, l7)",statement
W222,9,"repeat previous, replace COVID-19 with SARS-CoV-2",TNCA892,"Update(l1, l8)",command
W222,11,"repeat search, reset headline, reset filter, new filter: contains economy",TNCA979,"Update(f1:(l4 ^ l7 ^ l6), l9)",command
W222,12,"reset search, new search flu",TNCA1017,"Update(l8 ^ l9, l10)",command
W222,13,filter does not equal COVID-19,TNCA1073,Create(neg(l1)),command
W223,2,Find all news about COVID-19,TNCA532,Create(l1),command
W223,3,Filter out the articles that don't mention vaccination,TNCA578,Create(l2),command
W223,4,Include any articles that talk about treatments for the disease,TNCA633,"Update(l2, l2 v l3),Update(l1 ^ l2, (l1 ^ l2) ^ l3)",command
W223,5,I only want to see news articles that are not about and don't mention vaccinations and treatment,TNCA1123,"Update(l2 v l3, neg(l2) ^ neg(l3))",statement
W223,6,"I only want to see news articles where the headline includes either NCD, NI or WHO.",TNCA711,Create(l4 v l5 v l6),statement
W223,7,Exclude any results with North Ireland in the headline,TNCA757,"Update(l5, neg(l5)),Update(l5, ?)",command
W223,8,NI stands for National Insurance.,TNCA823,"Update(?, l7)",statement
W223,9,I want to see news articles mentioning SARS-CoV-2 and not about COVID-19,TNCA887,"Update(l1, l8)",statement
W223,10,What type of news article did I search for last?,TNCA941,Read(Q10),question
W223,11,"Instead of the headlines, please show news articles that talk about the economy",TNCA977,"Update(f1:(l4 ^ l7 ^ l6), l9)",command
W223,12,"Starting over, I would now like to see all news articles about the flu.",TNCA1022,"Update(l8 ^ l9, l10)",statement
W223,13,Please eliminate all articles that talk about COVID-19.,TNCA1071,Create(neg(l1)),command
W224,2,news articles about covid-19,TNGB539,Create(l1),command
W224,5,do not include vaccination or treatment,TNGB1130,"Update(l2 v l3, neg(l2) v neg(l3))",command
W224,6,"headline containing: NCD, NI or WHO",TNGB716,Create(l4 v l5 v l6),command
W224,7,NI except north ireland,TNGB772,"Update(l5, ?),Update(l5, neg(l5))",command
W224,8,National insurance,TNGB835,"Update(?, l7)",command
W224,9,search news containing SARS-CoV-2 not COVID-19,TNGB894,"Update(l1, l8)",command
W224,10,go back to the last step,TNGB945,Read(Q10),command
W224,12,start again and search news about the flu,TNGB1026,"Update(l8 ^ l9, l10)",command
W224,13,minus COVID-19,TNGB1090,Create(neg(l1)),command
W225,2,Show me all the news articles about COVID-19,TNGB540,Create(l1),command
W225,3,Just include the articles about vaccination.,TNGB588,"Create(l2),Update(l1, l2)",command
W225,4,also include the articles that refer to treatment.,TNGB646,"Update(l2, l2 v l3),Update(l1 ^ l2, (l1 ^ l2) ^ l3)",command
W225,5,Include all other articles as well as those surrounding vaccination and treatment.,TNGB682,Delete(l2 v l3),command
W225,6,"Show me the articles that contain NCD , NI or WHO in the headline.",TNGB713,Create(l4 v l5 v l6),command
W225,7,I did not intend for NI to refer to North Ireland,TNGB779,"Update(l5, ?)",statement
W225,8,National Insurance.,TNGB835,"Update(?, l7)",command
W225,9,"Instead of articles about COVID-19, show me those about SARS-CoV-2",TNGB902,"Update(l1, l8)",command
W225,10,Tell me my previous entries.,TNGB942,Read(Q10),command
W225,12,Only show me articles about flu.,TNGB1024,"Update(l8 ^ l9, l10)",command
W225,13,Remove articles including COVID-19,TNGB1085,Create(neg(l1)),command
W226,2,Get me news articles about COVID-19,TNGB540,Create(l1),command
W226,4,get me articles about treatment,TNGB645,"Update(l2, l2 v l3),Update(l1 ^ l2, (l1 ^ l2) ^ l3),Update(l1 ^ l2, l3)",command
W226,6,"get me articles about ncd, ni and who in the headline",TNGB713,Create(l4 v l5 v l6),command
W226,7,I didn't mean North Ireland as NI,TNGB780,"Update(l5, ?)",statement
W226,8,I meant National Insurance,TNGB839,"Update(?, l7)",statement
W226,9,Get me articles about SARS-CoV-2 instead of Covid-19,TNGB894,"Update(l1, l8)",command
W226,12,get me articles about flu,TNGB1023,"Update(l8 ^ l9, l10),Create(l10)",command
W226,13,get me articles that are not about covid-19,TNGB1084,Create(neg(l1)),command
W227,2,get articles about COVID-19,TNGB540,Create(l1),command
W227,4,get articles about covid treatments,TNGB645,"Update(l2, l2 v l3),Update(l1 ^ l2, (l1 ^ l2) ^ l3),Update(l1 ^ l2, l3)",command
W227,7,NI is not North Ireland,TNGB773,"Update(l5, ?)",statement
W227,8,NI is national insurance,TNGB833,"Update(?, l7)",statement
W227,9,get articles about SARS-CoV-2 not COVID-19,TNGB894,"Update(l1, l8)",command
W227,10,list previous searches,TNGB942,Read(Q10),command
W227,12,get articles about flu,TNGB1023,"Update(l8 ^ l9, l10),Create(l10)",command
W227,13,get articles where article not contains COVID-19,TNGB1089,Create(neg(l1)),command
W228,2,Give me a list of news articles about COVID-19,TNGB542,Create(l1),command
W228,3,Show me articles from the list including vaccinations,TNGB596,Create(l2),command
W228,4,Show me news articles with treatments,TNGB645,"Update(l2, l2 v l3),Update(l1 ^ l2, (l1 ^ l2) ^ l3),Update(l1 ^ l2, l3)",command
W228,6,Show me articles with WHO or NI or NCD in the headline,TNGB713,Create(l4 v l5 v l6),command
W228,7,Remove North Ireland from the list,TNGB770,"Update(l5, ?),Update(l5, neg(l5))",command
W228,8,Show me National Insurance articles,TNGB842,"Update(?, l7)",command
W228,9,Show me articles about SARS-CoV-2 and not COVID-19,TNGB894,"Update(l1, l8)",command
W228,12,Show me articles that have flu within,TNGB1023,"Update(l8 ^ l9, l10),Create(l10)",command
W228,13,Show me articles that do not contain COVID-19,TNGB1085,Create(neg(l1)),command
W229,2,Find me articles on COVID-19,TNGB540,Create(l1),command
W229,4,From that list rerun and add treatment,TNGB651,"Update(l1 ^ l2, (l1 ^ l2) ^ l3),Update(l2, l2 v l3)",command
W229,8,"For this query let ""NI"" is equal to ""National Insurance""",TNGB838,"Update(?, l7)",statement
W229,12,"Find me articles about ""Flu"" ",TNGB1023,"Update(l8 ^ l9, l10),Create(l10)",command
W230,2,Can I get some news articles about COVID-19,TNGB543,Create(l1),question
W230,4,Can you include more search results about a treatment,TNGB644,"Update(l1 ^ l2, (l1 ^ l2) ^ l3),Update(l2, l2 v l3)",question
W230,5,Show me more articles without links to vaccinations or treatments,TNGB1127,"Update(l2 v l3, neg(l2) v neg(l3))",command
W230,6,"Show me articles that include either NCD, NI or WHO in the headline",TNGB713,Create(l4 v l5 v l6),command
W230,7,Remove results including North Ireland,TNGB770,"Update(l5, ?),Update(l5, neg(l5))",command
W230,8,Add National Insurance abbreviation as NI to your dictionary please,TNGB836,"Update(?, l7)",command
W230,9,"Show more articles about the SARS-CoV2, remove results about COVID-19",TNGB894,"Update(l1, l8)",command
W230,10,Remind me what I was doing,TNGB949,Read(Q10),command
W230,12,Include articles about the flu in the search,TNGB1023,"Update(l8 ^ l9, l10),Create(l10)",command
W230,13,Remove articles about COVID-19 from the search,TNGB1085,Create(neg(l1)),command
W231,2,I'd like all news articles on COVID-19,TNGB546,Create(l1),statement
W231,4,Now show me all articles which mention a treatment.,TNGB645,"Update(l2, l2 v l3),Update(l1 ^ l2, (l1 ^ l2) ^ l3),Update(l1 ^ l2, l3)",command
W231,5,"Show me all articles, but this time exclude any mentioning vaccination or treatment.",TNGB1127,"Update(l2 v l3, neg(l2) v neg(l3))",command
W231,6,"Now show me articles where the headline includes at least one of the following terms: NCD, NI or WHO.",TNGB714,Create(l4 v l5 v l6),command
W231,7,Omit articles which mention North Ireland.,TNGB770,"Update(l5, ?),Update(l5, neg(l5))",command
W231,8,Please now assume that NI within articles refers to National Insurance.,TNGB841,"Update(?, l7)",command
W231,9,"Please alter the list to show articles which reference SARS-CoV-2, as opposed to COVID-19.",TNGB895,"Update(l1, l8)",command
W231,10,"Please ignore the last query, and return to the last step of article search results.",TNGB946,Read(Q10),command
W231,12,"New article search, find all articles which mention flu.",TNGB1026,"Update(l8 ^ l9, l10)",command
W231,13,Please exclude search results which reference COVID-19.,TNGB1085,Create(neg(l1)),command
W232,2,Please give me a list of news articles which cover the COVID-19.,TNGB542,Create(l1),command
W232,3,Remove all articles which do not cover the subject of vaccination.,TNGB595,Create(l2),command
W232,6,"Remove articles where the headline does not contain NCD, NI or WHO.",TNGB720,Create(l4 v l5 v l6),command
W232,7,"Please do not interpret 'NI' as ""North Ireland"".",TNGB782,"Update(l5, ?)",command
W232,8,"'NI' may be interpreted as ""National Insurance"".",TNGB834,"Update(?, l7)",statement
W232,9,"Please search for the subject ""SARS-Cov-2"" instead of ""COVID-19""",TNGB894,"Update(l1, l8)",command
W232,10,Please list all search terms and parameters which are currently being applied.,TNGB947,Read(Q10),command
W232,11,Please search for articles on the subject of the economy and with any headline.,TNGB981,"Update(f1:(l4 ^ l7 ^ l6), l9)",command
W232,12,Please give me a new list of news articles on the subject of flu.,TNGB1027,"Update(l8 ^ l9, l10)",command
W232,13,Please remove all articles which also cover the subject of COVID-19.,TNGB1085,Create(neg(l1)),command
W233,2,Show me all news regarding COVID-19,TNGB540,Create(l1),command
W233,3,Show only those articles that contain information about a vaccination,TNGB591,Create(l2),command
W233,5,Can you change the articles to show information other than a vaccination or treatment?,TNGB681,Delete(l2 v l3),question
W233,6,"Now please show only articles with only NCD, NI and WHO in the headline",TNGB713,Create(l4 v l5 v l6),command
W233,7,I do not mean North Ireland,TNGB778,"Update(l5, ?)",statement
W233,8,I actually meant National Insurance,TNGB839,"Update(?, l7)",statement
W233,9,Can you now keep the same headline but change the articles to SARS-CoV-2 instead of COVID-19?,TNGB899,"Update(l1, l8)",question
W233,10,Can you show me my previous requests?,TNGB944,Read(Q10),question
W233,11,Can you only show articles about the economy and not the other headline,TNGB983,"Update(f1:(l4 ^ l7 ^ l6), l9)",question
W233,12,Can you now only show articles referring to the flu virus?,TNGB1031,"Update(l8 ^ l9, l10)",question
W233,13,Please disregard any articles relating to COVID-19,TNGB1085,Create(neg(l1)),command
W234,2,Show me all news about COVID-19,TNGB540,Create(l1),command
W234,3,Show me just ones about a vaccination,TNGB590,Create(l2),command
W234,4,Include articles about treatment,TNGB646,"Update(l2, l2 v l3),Update(l1 ^ l2, (l1 ^ l2) ^ l3)",command
W234,5,Include all coronavirus articles not about vaccination or treatment,TNGB1128,"Update(l2 v l3, neg(l2) v neg(l3))",command
W234,6,"Show me just those articles with headlines: NCD, NI or WHO",TNGB714,Create(l4 v l5 v l6),command
W234,7,I don’t mean North Ireland,TNGB778,"Update(l5, ?)",statement
W234,8,I meant National Insurance,TNGB839,"Update(?, l7)",statement
W234,9,Adjust that query to show me about SARS-CoV-2 instead of COVID-19,TNGB894,"Update(l1, l8)",command
W234,11,Drop matching the headline but narrow to articles about the economy,TNGB985,"Update(f1:(l4 ^ l7 ^ l6), l9)",command
W234,12,"Instead, show me all articles about flu",TNGB1035,"Update(l8 ^ l9, l10)",command
W234,13,Exclude COVID-19 from last query,TNGB1085,Create(neg(l1)),command
W235,2,Can you find me articles on the COVID-19?,TNGB544,Create(l1),question
W235,3,Can you only include articles about vaccination?,TNGB592,"Create(l2),Update(l1, l2)",question
W235,4,can you also include articles that are about treatment?,TNGB643,"Update(l2, l2 v l3),Update(l1 ^ l2, (l1 ^ l2) ^ l3)",question
W235,5,can you show me all the articles not about vaccination or treatment?,TNGB1129,"Update(l2 v l3, neg(l2) v neg(l3))",question
W235,6,"can you show me articles containing the headline 'NCD', 'NI' or 'WHO'",TNGB719,Create(l4 v l5 v l6),question
W235,7,I did not mean North Ireland,TNGB778,"Update(l5, ?)",statement
W235,8,I meant National Insurance,TNGB839,"Update(?, l7)",statement
W235,9,Can you show me articles about SARS-CoV-2 instead of COVID-19 with the same headlines as before,TNGB900,"Update(l1, l8)",question
W235,10,what was my previous search parameters?,TNGB951,Read(Q10),question
W235,11,"instead of the previous headlines, please show me articles about the economy",TNGB987,"Update(f1:(l4 ^ l7 ^ l6), l9)",command
W235,12,please ignore all previous instructions. can you show me articles about the flu?,TNGB1025,"Update(l8 ^ l9, l10)",command
W235,13,articles that are not COVID-19 related,TNGB1086,Create(neg(l1)),command
W236,2,filter news articles related to COVID-19,TNGB545,Create(l1),command
W236,4,please also include articles that are related to treatment,TNGB646,"Update(l2, l2 v l3),Update(l1 ^ l2, (l1 ^ l2) ^ l3)",command
W236,5,please show me all articles related to novel coronavirus and its vaccination or treatment,TNGB685,Delete(l2 v l3),command
W236,6,"please filter articles with headline by NCD, NI or WHO",TNGB715,Create(l4 v l5 v l6),command
W236,7,"Could you search alternative options for acronym NI, not North Ireland",TNGB775,"Update(l5, ?),Update(l5, neg(l5))",question
W236,8,"I meant National Insurance, search for it",TNGB839,"Update(?, l7)",statement
W236,10,Please show me what I told you one search ago,TNGB948,Read(Q10),command
W236,12,Could you change the list so it shows articles related to flu,TNGB1033,"Update(l8 ^ l9, l10),Create(l10)",question
W236,13,Now remove articles about COVID-19,TNGB1085,Create(neg(l1)),command
W237,2,Show me articles on COVID-19,TNGB540,Create(l1),command
W237,3,Only keep the articles that contain news about a vaccination,TNGB588,"Create(l2),Update(l1, l2)",command
W237,4,Show articles about vaccination and treatment,TNGB647,"Update(l2, l2 ^ l3)",command
W237,5,Show me article that arn't about vaccination or treatment,TNGB1128,"Update(l2 v l3, neg(l2) v neg(l3))",command
W237,6,"Only show me articles about the virus with NCD, NI, or WHO in the headline",TNGB713,Create(l4 v l5 v l6),command
W237,7,Dont show me articles about North Ireland,TNGB776,"Update(l5, ?),Update(l5, neg(l5))",command
W237,8,Include articles with National Insurance mentioned,TNGB840,"Update(?, l7)",command
W237,9,Now do a new search on articles about SARS-CoV-2 and not COVID-19 with NCD in the headline,TNGB894,"Update(l1, l8)",command
W237,10,Repeat the previous search,TNGB942,Read(Q10),command
W237,12,I now want to see articles about the flu,TNGB1034,"Update(l8 ^ l9, l10),Create(l10)",statement
W237,13,Remove articles about COVID-19,TNGB1085,Create(neg(l1)),command
W238,2,Find all COVID-19 articles,TNGB541,Create(l1),command
W238,3,limit to vaccination articles,TNGB594,Create(l2),command
W238,4,add treatment articles,TNGB642,"Update(l1 ^ l2, (l1 ^ l2) ^ l3),Update(l2, l2 v l3)",command
W238,5,remove vaccination and treatment from original list,TNGB1131,"Update(l2 v l3, neg(l2) ^ neg(l3))",command
W238,6,show headline containing NCD or NI or WHO,TNGB716,Create(l4 v l5 v l6),command
W238,7,remove North Ireland,TNGB770,"Update(l5, ?),Update(l5, neg(l5))",command
W238,8,NI is national insurance,TNGB833,"Update(?, l7)",statement
W238,9,swap COVID-19 for SARS-CoV-2,TNGB903,"Update(l1, l8)",command
W238,10,remind me of the search details,TNGB942,Read(Q10),command
W238,11,remove headline search find economy instead,TNGB982,"Update(f1:(l4 ^ l7 ^ l6), l9)",command
W238,12,new search for flu,TNGB1028,"Update(l8 ^ l9, l10)",command
W238,13,remove COVID-19 from this search,TNGB1085,Create(neg(l1)),command
W239,2,Please find me all news articles concerning the COVID-19.,TNGB540,Create(l1),command
W239,3,Can you just find me articles articles about a vaccination for the disease?,TNGB586,"Create(l2),Update(l1, l2)",question
W239,4,Can you now find me articles just about a treatment for the virus?,TNGB650,"Update(l2, l2 v l3),Update(l1 ^ l2, (l1 ^ l2) ^ l3),Update(l1 ^ l2, l3)",question
W239,5,Can you now find me articles about the disease but not those concerning a Vaccination or treatments.,TNGB1129,"Update(l2 v l3, neg(l2) v neg(l3))",question
W239,6,"Can you find me news articles about the virus that have the following in the headline: NCD, NI or WHO.",TNGB718,Create(l4 v l5 v l6),question
W239,7,NI is not North Ireland. Please try again.,TNGB773,"Update(l5, ?)",statement
